name,type,latitude_deg,longitude_deg,state
Kako Airport,small_airport,61.89889908,-161.4380035,AK
Akiachak Seaplane Base,seaplane_base,60.90790176,-161.4349976,AK
Akiachak Airport,small_airport,60.90480042,-161.4219971,AK
Russian Mission Airport,small_airport,61.77888489,-161.319458,AK
Granite Mountain Air Station,small_airport,65.40209961,-161.2810059,AK
Akiak Airport,small_airport,60.9029007,-161.2310028,AK
Shaktoolik Airport,small_airport,64.37110138,-161.223999,AK
Nelson Lagoon Airport,small_airport,56.00749969,-161.1600037,AK
Haycock Airport,small_airport,65.2009964,-161.1569977,AK
Koyuk Alfred Adams Airport,small_airport,64.9394989,-161.154007,AK
Buckland Airport,medium_airport,65.9815979,-161.1490021,AK
Bear Creek 1 Airport,small_airport,65.53990173,-161.0619965,AK
Robert (Bob) Curtis Memorial Airport,small_airport,66.81790161,-161.0189972,AK
Tuluksak Airport,small_airport,61.09680176,-160.9689941,AK
Herendeen Bay Airport,small_airport,55.80139923,-160.8990021,AK
Unalakleet Airport,small_airport,63.88840103,-160.798996,AK
Port Moller Airport,small_airport,56.00600052,-160.5610046,AK
Squaw Harbor Seaplane Base,seaplane_base,55.23329926,-160.552002,AK
Sand Point Airport,medium_airport,55.31499863,-160.522995,AK
Bob Baker Memorial Airport,medium_airport,66.97599792,-160.4369965,AK
Togiak Airport,medium_airport,59.05279922,-160.3970032,AK
Kalskag Airport,small_airport,61.53630066,-160.3410034,AK
Twin Hills Airport,small_airport,59.07559967,-160.272995,AK
Johnsons Landing Airport,small_airport,56.0367012,-160.2660065,AK
Sandy River Federal I Airport,closed,56.226756,-160.230109,AK
Anvik Seaplane Base,seaplane_base,62.65620041,-160.2050018,AK
Anvik Airport,medium_airport,62.646702,-160.190994,AK
Roland Norton Memorial Airstrip,small_airport,66.76599884,-160.1529999,AK
Grayling Airport,small_airport,62.895187,-160.066289,AK
Wainwright Airport,medium_airport,70.63800049,-159.9949951,AK
Nyac Airport,small_airport,60.98070145,-159.9940033,AK
Selawik Airport,medium_airport,66.60009766,-159.9859924,AK
Wainwright Air Station,small_airport,70.61340332,-159.8600006,AK
Barking Sands Airport,medium_airport,22.02280045,-159.7850037,HI
Holy Cross Airport,medium_airport,62.18830109,-159.7749939,AK
Kalalau Beach Heliport,heliport,22.1746006,-159.6560059,HI
Port Allen Airport,small_airport,21.89690018,-159.6029968,HI
Shageluk Airport,small_airport,62.69229889,-159.5690002,AK
Aniak Airport,medium_airport,61.58160019,-159.5429993,AK
Ivanof Bay Seaplane Base,seaplane_base,55.89749908,-159.4889984,AK
